upazila81,factory91,factory01,factory05,subdiv81,district81,subdiv61,pop81,nonRiverareaSQKM,hindu81,literacy81,primary81,madrasa81,metalledroad81,kutcha81,roof_bamboo81,hh81,agrolandowner81,urbanpop81,occ_hh81,occ_culti81,occ_mfg81
madhayanagar,0,0,0,sunamganj,sylhet,sunamganj,61779,220,21649,15,4852,275,,16,8187,10180,6434,2938,15713,15578,16
magura,0,0,0,magura,jessore,magura,234617,387,61678,24,18040,3188,90,3055,22286,36020,23299,28007,60957,39227,1061
mahalchhari,0,0,0,khagrachhari,chittagong ht,ramgarh,22416,245,2477,20,2100,,,74,3714,3806,2287,4072,5813,4724,4
maheshkhali,0,0,0,cox's bazar,chittagong,cox's bazar,152644,269,11954,10,8889,2130,14,180,18527,47904,22043,1126,34529,20655,191
manda,0,0,0,naogaon,rajshahi,naogaon,248891,407,28717,18,18761,305,43,306,23980,44528,31195,4796,62643,54134,519
manikchhari,0,0,0,ramgarh,chittagong ht,,25686,324,1696,10,1507,,19,142,4758,4782,2769,8807,7731,5301,4
manikganj,0,0,0,manikganj,dhaka,manikcganj,194104,177,3,23,14328,,6920,61,9238,33953,21416,37132,53906,31829,880
manirampur,0,0,0,jessore sadar,jessore,jessore sadar,277633,442,67831,22,29495,1662,43,278,33263,44336,33795,9884,71492,58018,561
mathbaria,0,0,0,perojpur,barisal,perojpur,221476,290,32605,45,9650,1560,26,209,17059,38554,24153,16304,61081,40462,422
matiranga,0,0,0,ramgarh,chittagong ht,,56094,495,15292,14,4576,300,26,200,9553,9629,5780,2256,14727,14104,425
matlab.,0,0,0,chandpur,comilla,cbandpur,436173,342,44483,26,46805,1130,10,304,15206,72614,56834,8736,111054,59781,3867
mehendiganj,0,0,0,barisal sadar(north),barisal,barisal sadar north,241104,330,14336,26,26658,3220,8,937,25794,43462,29277,23918,63664,38612,596
meherpur,0,0,0,meherpur,kushtia,meherpur,215229,365,4297,16,12167,623,140,203,24640,33736,21747,23573,55084,43706,346
