"machine","capacity","bgmea_num","fac_type","upazila","date_est","exist91","exist00","upaz2011","parent","ipum2011"
160,"20000",613,1,"gulshan",1988,1,1,"302626","030026","030026026"
121,"48000",239,0,"savar",1986,1,1,"302672","030026","030026072"
120,"30000",291,0,"khulshi",1986,1,1,"201543","020015","020015043"
60,"180000",1959,1,"narayanganj sadar",1994,0,1,"306758","030067","030067058"
72,"155000",2361,1,"narayanganj sadar",1996,0,1,"306758","030067","030067058"
59,"100000",1447,1,"pallabi",1992,0,1,"302664","030026","030026064"
130,"1500000",772,1,"mirpur",1989,1,1,"302648","030026","030026048"
126,"110000",1895,1,"tejgaon industrial area",1994,0,1,"302692","030026","030026092"
NA,NA,470,0.5,"kafrul",1987,1,1,"302630","030026","030026030"
136,"100000",1407,1,"motijheel",1992,0,1,"302654","030026","030026054"
249,"60000",231,0,"mirpur",1986,1,1,"302648","030026","030026048"
94,"36500",950,0.5,"ramna",1990,1,1,"302666","030026","030026066"
148,"45000",1268,1,"khulna sadar",1991,1,1,"404751","040047","040047051"
95,"15000",3128,0.5,"gazipur sadar",2000,0,1,"303330","030033","030033030"
205,"164250",1778,1,"sabujbagh",1994,0,1,"302668","030026","030026068"
163,"14000",1550,0,"pallabi",1992,0,1,"302664","030026","030026064"
80,NA,2936,0.5,"narayanganj sadar",1999,0,1,"306758","030067","030067058"
NA,NA,427,0.5,"sher-e-bangla nagar",1987,1,1,"302680","030026","030026080"
226,"170000",1284,0.5,"tejgaon industrial area",1991,1,1,"302692","030026","030026092"
NA,NA,1768,0.5,"gendaria",1993,0,1,"302624","030026","030026024"
60,NA,208,0.5,"mohammadpur",1986,1,1,"302650","030026","030026050"
125,"50000",183,0,"motijheel",1986,1,1,"302654","030026","030026054"
NA,NA,1543,0.5,"sabujbagh",1992,0,1,"302668","030026","030026068"
25,NA,2709,1,"narayanganj sadar",1998,0,1,"306758","030067","030067058"
127,"60000",1599,0,"mirpur",1993,0,1,"302648","030026","030026048"
150,"600000",1211,0,"darus salam",1991,1,1,"302611","030026","030026011"
NA,NA,1618,1,"savar",1993,0,1,"302672","030026","030026072"
11,"3000",1495,0.5,"tejgaon industrial area",1992,0,1,"302692","030026","030026092"
