"bgmea_num","capacity","machine","fac_type","upazila","date_est","exist05","upaz2011","parent"
2466,50000,168.5,0,"mirpur",1997,1,302648,30026
1530,195000,261,0,"savar",1993,1,302672,30026
236,156000,290,0,"savar",1985,1,302672,30026
2865,48000,141,0,"gazipur sadar",1998,1,303330,30033
2507,1e+05,94,1,"kaliakair",1997,1,303332,30033
2627,NA,145,1,"tejgaon industrial area",1998,1,302692,30026
2533,1250000,782,1,"savar",1997,1,302672,30026
3043,135000,260,0,"savar",1999,1,302672,30026
2716,55000,237.5,1,"savar",1998,1,302672,30026
293,84000,40,1,"gendaria",1985,1,302624,30026
550,25000,279,1,"gulshan",1988,1,302626,30026
1805,30000,62,0,"gazipur sadar",1994,1,303330,30033
951,87000,350,0,"gazipur sadar",1992,1,303330,30033
568,216000,558,0,"gazipur sadar",1985,1,303330,30033
2764,72000,183,0,"paltan",1998,1,302665,30026
2963,2e+05,550,1,"ramna",1999,1,302666,30026
3142,180000,224,0,"rampura",2000,1,302667,30026
2330,84000,164.6192883,0,"narayanganj sadar",1996,1,306758,30067
2875,250000,406,0,"savar",1999,1,302672,30026
2795,10000,222.5,0,"tangail sadar",1999,1,309395,30093
117,10000,185.5,0,"tangail sadar",1984,1,309395,30093
158,60000,243.5,0,"gazipur sadar",1985,1,303330,30033
1003,150000,150,1,"tejgaon",1992,1,302690,30026
1542,80000,218,0,"gulshan",1993,1,302626,30026
2303,60000,125,0,"adabor",1996,1,302602,30026
2213,34476,242.5,1,"savar",1995,1,302672,30026
1917,48000,150,0,"gulshan",1994,1,302626,30026
864,275000,128,1,"narayanganj sadar",1989,1,306758,30067
501,35100,160,0,"gazipur sadar",1985,1,303330,30033
1222,60000,250,0,"tejgaon industrial area",1992,1,302692,30026
1142,NA,224.4716134,0,"kafrul",1992,1,302630,30026
626,25000,82.5,0,"new market",1986,1,302663,30026
3165,NA,25,0,"narayanganj sadar",2000,1,306758,30067
816,40000,40,0,"narayanganj sadar",1991,1,306758,30067
521,80000,192,0,"gazipur sadar",1985,1,303330,30033
2981,60000,281,1,"gazipur sadar",1999,1,303330,30033
2589,60000,110,0,"bangshal",1997,1,302605,30026
1830,150000,105,1,"savar",1994,1,302672,30026
2557,72000,234.5,0,"khilgaon",1997,1,302636,30026
1644,150000,806,1,"gazipur sadar",1993,1,303330,30033
162,36000,140,0,"gulshan",1985,1,302626,30026
430,83330,170,0,"rampura",1985,1,302667,30026
875,60000,181.5,0,"paltan",1991,1,302665,30026
2379,NA,50,0,"gazipur sadar",1996,1,303330,30033
2901,270000,141,0,"rampura",1998,1,302667,30026
672,1e+05,136,0,"gazipur sadar",1987,1,303330,30033
2397,1e+05,180,0,"sonargaon",1996,1,306704,30067
2906,75000,280,1,"narayanganj sadar",1999,1,306758,30067
120,24000,235,0,"rampura",1985,1,302667,30026
2424,32000,179.5,0,"gazipur sadar",1996,1,303330,30033
2600,48000,98,0,"darus salam",1997,1,302611,30026
2732,84000,157.5,0,"sabujbagh",1998,1,302668,30026
2874,66000,232.5,0,"paltan",1999,1,302665,30026
2588,66000,120,0,"kafrul",1998,1,302630,30026
1089,30000,367,1,"gazipur sadar",1992,1,303330,30033
2886,60000,384,1,"gazipur sadar",1999,1,303330,30033
202,24000,114,0,"gulshan",1985,1,302626,30026
433,156000,262,0,"gulshan",1985,1,302626,30026
1382,1560000,193.5,1,"badda",1993,1,302604,30026
1674,NA,224.4716134,0,"pallabi",1993,1,302664,30026
240,96000,170,0,"rampura",1985,1,302667,30026
2581,72000,490,1,"gazipur sadar",1998,1,303330,30033
2474,40000,121,0,"rampura",1997,1,302667,30026
441,50000,117,0,"rampura",1985,1,302667,30026
3086,64000,231,0,"pallabi",2000,1,302664,30026
45,150000,387.5,0,"pallabi",1985,1,302664,30026
1258,60000,183,0,"kotwali",1992,1,201541,20015
1257,30000,196,0,"pallabi",1992,1,302664,30026
2888,NA,91,1,"bayejid bostami",1996,1,201506,20015
323,78000,218,0,"gazipur sadar",1985,1,303330,30033
1048,78000,240,0,"khilgaon",1992,1,302636,30026
602,60000,120.5,0,"uttara, bimanbandar",1986,1,302695,30026
1715,84000,172,0,"pallabi",1994,1,302664,30026
1758,17000,155,0,"ramna",1994,1,302666,30026
966,60000,100,0,"adabor",1992,1,302602,30026
