"bgmea_num","capacity","machine","fac_type","upazila","date_est","exist91","exist01","upaz2011","parent"
3038,"x",248,0,"badda",1999,0,1,302604,30026
2591,"x",104,0.5,"pallabi",1998,0,1,302664,30026
1335,"45000",120,0,"pallabi",1992,0,1,302664,30026
2240,"36000",223,1,"rupganj",1995,0,1,306768,30067
3088,"292000",42,1,"khulshi",1999,0,1,201543,20015
2406,"120000",250,1,"double mooring",1996,0,1,201528,20015
395,"60000",250,1,"kotwali",1985,1,1,201541,20015
1454,"150000",150,0,"pallabi",1993,0,1,302664,30026
1081,"48000",365,0,"gazipur sadar",1992,0,1,303330,30033
3070,"x",143,0,"rampura",2000,0,1,302667,30026
2768,"x",122,0,"rampura",1998,0,1,302667,30026
704,"120000",316,0,"gazipur sadar",1989,1,1,303330,30033
2491,"444000",152,1,"panchlaish",1997,0,1,201557,20015
2954,"40000",150,0,"chandgaon",2000,0,1,201519,20015
1790,"50000",172,0.5,"mirpur",1994,0,1,302648,30026
2689,"50000",100,0.5,"mirpur",1998,0,1,302648,30026
1448,"120000",166,0,"kalabagan",1993,0,1,302633,30026
3174,"36000",98,0,"gulshan",2000,0,1,302626,30026
1617,"60000",280,0.5,"mirpur",1993,0,1,302648,30026
3093,"x",155,1,"gazipur sadar",2000,0,1,303330,30033
1246,"30000",101,0,"gazipur sadar",1992,0,1,303330,30033
17,"185000",258,0,"pallabi",1982,1,1,302664,30026
2380,"30000",105,0.5,"double mooring",1996,0,1,201528,20015
578,"120000",245,0,"tejgaon industrial area",1985,1,1,302692,30026
2428,"5833",303,1,"sonargaon",1997,0,1,306704,30067
343,NA,185.2385766,0,"kotwali",1985,1,1,201541,20015
145,"180000",540,0,"paltan",1984,1,1,302665,30026
146,"117000",290,0,"tejgaon",1985,1,1,302690,30026
10,"140000",222,0,"savar",1985,1,1,302672,30026
588,"90000",218,0,"double mooring",1986,1,1,201528,20015
1857,"150000",46,0.5,"mirpur",1994,0,1,302648,30026
2016,"600000",450,1,"bhaluka",1995,0,1,306113,30061
1560,"40000",148,0,"pallabi",1994,0,1,302664,30026
2475,"72000",168,0,"dakshinkhan",1997,0,1,302610,30026
1122,"96000",98,1,"mohammadpur",1992,0,1,302650,30026
2664,"x",70,0,"tejgaon industrial area",1998,0,1,302692,30026
2883,"9000",126,0,"mirpur",1999,0,1,302648,30026
1689,"60000",500,1,"mirpur",1993,0,1,302648,30026
232,"70000",190,0,"gazipur sadar",1984,1,1,303330,30033
1472,"48000",78,0,"mirpur",1993,0,1,302648,30026
878,"x",185.2385766,0,"narayanganj sadar",1991,1,1,306758,30067
2802,"x",53,1,"narayanganj sadar",1998,0,1,306758,30067
462,"100000",215,0,"gulshan",1985,1,1,302626,30026
367,"75000",265,0,"bayejid bostami",1985,1,1,201506,20015
2934,"60000",80,0,"bakalia",1999,0,1,201510,20015
1426,"60000",225,0,"tejgaon industrial area",1993,0,1,302692,30026
2266,"25000",40,1,"pallabi",1995,0,1,302664,30026
2647,"5000",72,0,"motijheel",1998,0,1,302654,30026
1452,"12000",100,0,"turag",1993,0,1,302693,30026
2122,"36000",200,0,"double mooring",1995,0,1,201528,20015
2144,"80000",200,0.5,"panchlaish",1995,0,1,201557,20015
573,"24000",151,0,"sabujbagh",1985,1,1,302668,30026
2334,"1104500",100,1,"sutrapur",1996,0,1,302688,30026
625,"10000",278,0,"savar",1986,1,1,302672,30026
3005,"60000",44,0.5,"bayejid bostami",2000,0,1,201506,20015
3014,"x",92,1,"pallabi",1999,0,1,302664,30026
3199,"x",364,0,"narayanganj sadar",2000,0,1,306758,30067
1049,"100000",285,0,"savar",1992,0,1,302672,30026
2654,"210000",178,0.5,"double mooring",1998,0,1,201528,20015
2863,"x",40,1,"panchlaish",1998,0,1,201557,20015
2761,"x",185.2385766,1,"savar",1998,0,1,302672,30026
3028,"x",34,0,"kafrul",1999,0,1,302630,30026
2558,"190000",216,0,"turag",1997,0,1,302693,30026
1135,"200000",232,0,"mirpur",1992,0,1,302648,30026
150,"250000",272,0,"mirpur",1984,1,1,302648,30026
1401,"90000",120,1,"mirpur",1993,0,1,302648,30026
352,"40000",224,0,"double mooring",1984,1,1,201528,20015
2255,"65000",519,0.5,"double mooring",1995,0,1,201528,20015
2457,"50000",22,0,"gulshan",1997,0,1,302626,30026
1149,"20000",140,0,"adabor",1992,0,1,302602,30026
1460,"100000",100,1,"khulshi",1993,0,1,201543,20015
111,"186000",135,0,"mirpur",1985,1,1,302648,30026
490,"50000",150,0,"khulna sadar",1985,1,1,404751,40047
1,"250000",410,0,"chandgaon",1985,1,1,201519,20015
3145,"41000",80,0,"singair",2000,0,1,305682,30056
1496,"125000",160,0,"mohammadpur",1993,0,1,302650,30026
3108,"135000",195,0,"tejgaon",2000,0,1,302690,30026
2590,"42000",97,0.5,"savar",1998,0,1,302672,30026
2604,"60000",173,0,"keraniganj",1998,0,1,302638,30026
2775,"10000",49,0,"savar",1998,0,1,302672,30026
974,"95812",38,0.5,"narayanganj sadar",1992,0,1,306758,30067
1334,"182500",87,0,"narayanganj sadar",1992,0,1,306758,30067
768,"60000",125,1,"pallabi",1990,1,1,302664,30026
1670,"90000",556,1,"savar",1993,0,1,302672,30026
2205,"x",185.2385766,0,"pallabi",1995,0,1,302664,30026
2257,"105000",175,0,"pallabi",1995,0,1,302664,30026
622,"60000",200,0,"kotwali",1986,1,1,201541,20015
2616,"25000",110,1,"kotwali",1998,0,1,201541,20015
895,"60000",130,0,"kafrul",1991,1,1,302630,30026
112,"65700",173,0,"gulshan",1985,1,1,302626,30026
2984,"x",250,1,"mirpur",1999,0,1,302648,30026
1530,"50000",90,0,"savar",1993,0,1,302672,30026
236,"60000",155,0,"savar",1985,1,1,302672,30026
2865,"x",66,0,"gazipur sadar",1998,0,1,303330,30033
